com.samsung.shealth.tracker.pedometer_step_count,6307003,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
17677,4,0,33,2025-12-05 13:16:00.000,,,2025-12-05 13:17:22.315,2025-12-05 13:17:22.315,33,1.3333333,23.57,0.98,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:17:00.000,7584dfa6-cc3f-4bf3-987b-3354e4702df4,
12058,4,0,20,2025-12-05 13:17:00.000,,,2025-12-05 13:17:40.387,2025-12-05 13:17:22.344,20,1.2207524,14.719999,0.61,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:18:00.000,8cc358be-5539-43a9-a287-52ec494ab4b7,
8482,4,0,17,2025-12-05 13:18:00.000,,,2025-12-05 13:20:34.615,2025-12-05 13:20:34.615,17,1.5277778,12.96,0.51,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:19:00.000,eba9b526-280d-4779-be9e-bafc25d02a65,
6747,4,0,11,2025-12-05 13:24:00.000,,,2025-12-05 13:24:51.227,2025-12-05 13:24:51.227,11,1.1944444,8.06,0.29,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:25:00.000,152abeeb-72c9-4e58-8df5-e800ca75d437,
12117,4,0,25,2025-12-05 13:30:00.000,,,2025-12-05 13:30:46.986,2025-12-05 13:30:46.986,25,1.6388888,19.86,0.76,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:31:00.000,8f06ff7c-5ce3-4175-894e-d83eaae865fc,
9936,4,0,13,2025-12-05 13:33:00.000,,,2025-12-05 13:34:25.985,2025-12-05 13:34:25.985,13,0.8333333,8.28,0.52,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:34:00.000,d704e6a9-48b4-446b-aa98-7f49be8ef95b,
19685,4,0,36,2025-12-05 13:34:00.000,,,2025-12-05 13:34:26.107,2025-12-05 13:34:26.107,36,1.3055556,25.7,1.08,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:35:00.000,25f70afd-1d90-4329-ace8-145580fcfe87,
18586,4,0,32,2025-12-05 13:42:00.000,,,2025-12-05 13:45:30.553,2025-12-05 13:45:30.553,32,1.2777778,23.75,0.98,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:43:00.000,bbc563aa-914c-4d35-8405-4f9e27b191ea,
11310,4,0,17,2025-12-05 13:43:00.000,,,2025-12-05 13:45:30.660,2025-12-05 13:45:30.660,17,1.0,11.31,0.54,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:44:00.000,3e52c243-f9c0-4d81-87da-97864f76a867,
35348,4,0,63,2025-12-05 13:44:00.000,,,2025-12-05 13:45:30.717,2025-12-05 13:45:30.717,63,1.3055556,46.15,1.88,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-05 13:45:00.000,fc513de1-6f78-4220-9375-8add758039cb,
