com.samsung.shealth.badge,6307003,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
7091,2025-10-17 22:25:25.786,11007,,2,,2025-10-17 22:25:32.929,2025-10-17 22:25:32.929,,cycling_goal_200K_accumulated,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,69024fab-82e3-4f66-8ed4-330ece9398fd,tracker.exercise,2025-10-17 22:25:31.786,466595ed-7e65-444c-8871-985e2265a7fa,
1,2025-10-21 03:00:00.000,,,1,,2025-10-21 11:08:58.207,2025-10-21 11:08:58.207,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-10-22 02:59:59.999,d4115319-f686-4465-af23-f02fc8fa36a4,
,2025-10-21 00:00:00.000,,,1,,2025-10-21 11:09:02.161,2025-10-21 11:09:02.161,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-10-21 00:00:00.000,fbe85058-5c93-4ea0-bfe0-c88def360369,
1,2025-10-28 03:00:00.000,,,1,,2025-10-28 10:29:56.395,2025-10-28 10:29:56.395,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-10-29 02:59:59.999,8971c621-1f97-497f-8432-5745b0699662,
,2025-10-28 00:00:00.000,,,1,,2025-10-28 10:30:00.758,2025-10-28 10:30:00.758,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-10-28 00:00:00.000,873c3a7a-ba4c-4cc2-aa1f-2e358e794e4c,
,2025-10-30 00:00:00.000,,,1,,2025-10-30 11:30:40.838,2025-10-30 11:30:40.838,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-10-30 00:00:00.000,ce18ce08-ccc1-4796-9894-14ce088bc463,
1,2025-11-01 03:00:00.000,,,1,,2025-11-01 13:07:11.615,2025-11-01 13:07:11.615,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-11-02 02:59:59.999,56b111a6-be57-40a3-a12e-ceae851e5b69,
1,2025-11-09 03:00:00.000,,,1,,2025-11-09 13:49:10.606,2025-11-09 13:49:10.606,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-11-10 02:59:59.999,9445493d-b7ce-40ad-9c5e-87f45eb02ac5,
1,2025-11-10 03:00:00.000,,,1,,2025-11-10 08:48:42.491,2025-11-10 08:48:42.491,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-11-11 02:59:59.999,b1f8d397-1292-41d1-960a-b13932d47d85,
1,2025-12-10 14:29:02.074,,,2,,2025-12-10 17:59:44.705,2025-06-08 11:30:32.343,,exercise_one_month_streak,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,ae9eb1f9-8c49-4908-8ccd-004c1014b0f3,tracker.exercise,2025-12-10 14:29:02.074,7a0fe16c-c2b1-484a-b958-55aa0ff28e96,
1,2025-11-21 03:00:00.000,,,1,,2025-11-21 10:52:59.906,2025-11-21 10:52:59.906,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-11-22 02:59:59.999,e0bdb8ea-98cf-4c7d-b05a-b805be7825f4,
