com.samsung.shealth.tracker.floors_day_summary,6307003,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
63060070,,63060070,2025-12-12 13:16:14.338,2025-12-12 13:16:14.338,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,f7b2eb0c-4a18-48cc-b54d-107ef8494e11,1703980800000,
63060070,,63060070,2025-12-12 13:16:14.353,2025-12-12 13:16:14.353,8,1,bvFPH0+ZC9,com.sec.android.app.shealth,ec67dea9-f1aa-4955-8e23-1c4cc9a2f161,1714348800000,
63060070,,63060070,2025-12-12 13:16:14.367,2025-12-12 13:16:14.367,14,1,bvFPH0+ZC9,com.sec.android.app.shealth,48c0758d-dca0-4938-938e-9c45a8f6e090,1717804800000,
63060070,,63060070,2025-12-12 13:16:14.376,2025-12-12 13:16:14.376,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,606676ef-208b-40a6-bb64-1e4197217128,1724198400000,
63060070,,63060070,2025-12-12 13:16:14.383,2025-12-12 13:16:14.383,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,1de5ee7c-2f0d-44b7-812d-ec08bd246963,1699920000000,
63060070,,63060070,2025-12-12 13:16:14.393,2025-12-12 13:16:14.393,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,1c970e02-e283-4e8d-b17b-05638812c76b,1725926400000,
63060070,,63060070,2025-12-12 13:16:14.402,2025-12-12 13:16:14.402,4,1,bvFPH0+ZC9,com.sec.android.app.shealth,e2dcd8ba-d3f4-4bcd-a99f-ef348f68812f,1731110400000,
63060070,,63060070,2025-12-12 13:16:14.411,2025-12-12 13:16:14.411,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,b1a3e1a8-1b30-42ed-8f76-ae871384dfb9,1722470400000,
63060070,,63060070,2025-12-12 13:16:14.433,2025-12-12 13:16:14.433,6,1,bvFPH0+ZC9,com.sec.android.app.shealth,6921bbe8-290c-4b26-904b-4fff92907566,1715558400000,
63060070,,63060070,2025-12-12 13:16:14.444,2025-12-12 13:16:14.444,7,1,bvFPH0+ZC9,com.sec.android.app.shealth,430102ab-4fd9-4caa-bd8a-74d478ba4b9d,1717286400000,
63060070,,63060070,2025-12-12 13:16:14.456,2025-12-12 13:16:14.456,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,6059e22a-2595-4d9b-9fac-4b45f0dfe733,1721260800000,
63060070,,63060070,2025-12-12 13:16:14.470,2025-12-12 13:16:14.470,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,045c161f-41d3-46dc-b1e2-29403c868852,1702857600000,
63060070,,63060070,2025-12-12 13:16:14.479,2025-12-12 13:16:14.479,4,1,bvFPH0+ZC9,com.sec.android.app.shealth,454d5cb3-3916-4217-81b6-1d2377a2ff3d,1701129600000,
63060070,,63060070,2025-12-12 13:16:14.492,2025-12-12 13:16:14.492,5,1,bvFPH0+ZC9,com.sec.android.app.shealth,a0f6fc35-9f7d-436f-b48d-f1eff46f90db,1706313600000,
